id,name,evo_from_id,image,weight,height,type
0,ฟุชิกิดาเนะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/cf47f9fac4ed3037ff2a8ea83204e32aff8fb5f3.png,6.9,0.7,หญ้า พิษ
1,ฟุชิกิโซ,0,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3245e4f8c04aa0619cb31884dbf123c6918b3700.png,13,1,หญ้า พิษ
2,ฟุชิกิบานะ,1,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/0186d64c5773c8d3d03cd05dc79574b2d2798d4f.png,100,2,หญ้า พิษ
3,ฮิโตคาเงะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/d0ee81f16175c97770192fb691fdda8da1f4f349.png,8.5,0.6,ไฟ
4,ลิซาร์โดะ,3,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/285395ca77d82861fd30cea64567021a50c1169c.png,19,1.1,ไฟ
5,ลิซาร์ดอน,4,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2050f1fd1283f473d7d048f8631712e7e003f802.png,90.5,1.7,ไฟ บิน
6,เซนิกาเมะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5794f0251b1180998d72d1f8568239620ff5279c.png,9,0.5,น้ำ
7,คาเมล,6,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a3bc17e6215031332462cc64e59b7922ddd14b91.png,22.5,1,น้ำ
8,คาเม็กซ์,7,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/2fe157db59153af8abd636ab03c7df6f28b08242.png,85.5,1.6,น้ำ
9,คาเตอร์ปี,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/68f0cec6bcba20a0c53db3d8cfce81bd319d2c82.png,2.9,0.3,แมลง
10,ทรานเซล,9,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/05fd4676fa4a4b58288510a97a5211e066e02464.png,9.9,0.7,แมลง
11,บัตเตอร์ฟรี,10,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/eacd20285cb634ba9fea41fc0fa13871c2fcbc66.png,32,1.1,แมลง บิน
12,บีเดิล,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/5ae74d403ec682eaf13e066850afd4b0c20d85f7.png,3.2,0.3,แมลง พิษ
13,โคคูน,12,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/dd41f31a3c97f1f9d998361b125362584873157b.png,10,0.6,แมลง พิษ
14,สเปียร์,13,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/70f4206271b72492c9ba71d708d6183a80ba0e96.png,29.5,1,แมลง พิษ
15,ป็อปโปะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/0e7c6e616404c683f00701b591eeab56e465641a.png,1.8,0.3,ปกติ บิน
16,พีเจียน,15,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/a2935587b7c61e6e6da88da3578d700c133246e5.png,30,1.1,ปกติ บิน
17,พีเจียต,16,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/01e13954dff668c1420407c98b308c81b83f6dda.png,39.5,1.5,ปกติ บิน
18,โครัตตา,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/3e4b38ab7545ebd938154d9aed9502cb068569d6.png,3.5,0.3,ปกติ
19,รัตตา,18,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/e97c62e4e4b46017be60806d00f4d389d003f115.png,18.5,0.7,ปกติ
20,โอนิสึซึเมะ,null,https://th.portal-pokemon.com/play/resources/pokedex/img/pm/e815cb4b8ba9c2d0841dfa364c87164880944e3a.png,2,0.3,ปกติ บิน
