[14/Oct/2023:11:06:22 +0000] - 200 200 - GET http pgadmin.localhost "/" [Client 172.18.0.1] [Length 490] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
[14/Oct/2023:11:06:22 +0000] - 200 200 - GET http pgadmin.localhost "/static/style-770afaee.css" [Client 172.18.0.1] [Length 2797] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/"
[14/Oct/2023:11:06:22 +0000] - 200 200 - GET http pgadmin.localhost "/static/index-17d74ac9.js" [Client 172.18.0.1] [Length 481314] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/"
[14/Oct/2023:11:06:22 +0000] - 401 401 - GET http pgadmin.localhost "/api/admin/ui-config" [Client 172.18.0.1] [Length 625] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/"
[14/Oct/2023:11:06:22 +0000] - 401 401 - GET http pgadmin.localhost "/api/admin/user" [Client 172.18.0.1] [Length 625] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/"
[14/Oct/2023:11:06:22 +0000] - 200 200 - GET http pgadmin.localhost "/static/unleashLogoIconDarkAlpha-de056a82.gif" [Client 172.18.0.1] [Length 90524] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/"
[14/Oct/2023:11:06:22 +0000] - 401 401 - GET http pgadmin.localhost "/api/admin/projects" [Client 172.18.0.1] [Length 625] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/"
[14/Oct/2023:11:06:22 +0000] - 200 200 - GET http pgadmin.localhost "/login?redirect=%2Fprojects" [Client 172.18.0.1] [Length 490] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
[14/Oct/2023:11:06:22 +0000] - 200 200 - GET http pgadmin.localhost "/static/texture-c29e66c0.png" [Client 172.18.0.1] [Length 55291] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/login?redirect=%2Fprojects"
[14/Oct/2023:11:06:22 +0000] - 304 304 - GET http pgadmin.localhost "/static/style-770afaee.css" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/login?redirect=%2Fprojects"
[14/Oct/2023:11:06:22 +0000] - 304 304 - GET http pgadmin.localhost "/static/index-17d74ac9.js" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to unleash-web] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "http://pgadmin.localhost/login?redirect=%2Fprojects"
